id P0_x P0_y P1_x P1_y P2_x P2_y P3_x P3_y
F32 52.72 37.48 47.36 37.51 47.38 35.25 52.71 35.22
F33 52.74 39.89 47.36 39.94 47.40 37.65 52.73 37.62
F34 52.76 42.30 47.39 42.34 47.41 40.07 52.76 40.05
F35 41.87 40.04 47.24 40.05 47.24 42.30 41.89 42.32
F36 41.88 37.64 47.27 37.66 47.24 39.91 41.92 39.93
F37 41.88 35.25 47.25 35.26 47.23 37.52 41.89 37.54
F38 41.84 31.64 47.21 31.65 47.20 33.91 41.87 33.92
F39 41.82 29.27 47.20 29.26 47.19 31.48 41.86 31.53
F40 41.85 26.85 47.19 26.85 47.19 29.08 41.86 29.11
F41 41.83 23.28 47.17 23.25 47.15 25.49 41.81 25.52
F42 41.79 20.85 47.16 20.86 47.15 23.12 41.80 23.14
F43 41.80 18.50 47.11 18.44 47.15 20.70 41.83 20.71
F44 35.53 40.07 30.17 40.09 30.17 42.35 35.52 42.31
F45 35.48 37.67 30.13 37.68 30.13 39.94 35.47 39.91
F46 35.47 35.28 30.12 35.28 30.14 37.56 35.46 37.51
F47 35.46 31.67 30.11 31.67 30.09 33.96 35.46 33.91
F48 35.45 29.26 30.10 29.28 30.08 31.55 35.46 31.51
F49 35.43 26.86 30.08 26.88 30.07 29.16 35.44 29.12
F50 35.40 23.26 30.06 23.28 30.03 25.56 35.44 25.54
F51 35.37 20.85 30.02 20.88 30.02 23.15 35.39 23.10
F51-1 35.38 18.52 30.03 18.52 30.03 20.72 35.41 20.72
F52 24.51 18.51 29.83 18.50 29.88 20.75 24.52 20.75
F53 24.51 20.91 29.86 20.90 29.89 23.13 24.55 23.16
F54 24.54 23.30 29.91 23.31 29.92 25.56 24.57 25.57
F55 24.58 26.90 29.90 26.89 29.93 29.14 24.58 29.15
F56 24.56 29.30 29.92 29.29 29.94 31.52 24.58 31.56
F57 24.59 31.68 29.93 31.68 29.95 33.94 24.59 33.94
F58 24.61 35.31 29.97 35.30 30.01 37.56 24.65 37.56
F59 24.63 37.71 29.97 37.69 30.03 39.96 24.66 39.95
F60 24.64 40.08 29.99 40.09 30.02 42.35 24.66 42.35
F61 17.79 40.15 12.42 40.18 12.42 42.37 17.72 42.42
F62 17.74 37.78 12.46 37.76 12.43 39.98 17.78 40.01
F63 17.77 35.34 12.41 35.39 12.47 37.61 17.73 37.61
F64 17.72 31.76 12.41 31.82 12.42 34.07 17.76 34.01
F65 17.70 29.32 12.36 29.43 12.38 31.64 17.74 31.58
F66 17.75 26.91 12.34 27.04 12.33 29.31 17.69 29.16
F67 17.63 20.86 12.30 20.87 12.33 23.14 17.71 23.09
F68 17.60 18.46 12.28 18.48 12.31 20.72 17.62 20.72
